"locale","region","date","description","type","notes"
"et-EE","","2016-01-01","uusaasta","NF",""
"et-EE","","2016-02-24","iseseisvuspäev","NF",""
"et-EE","","2016-03-25","suur reede","NRV",""
"et-EE","","2016-03-27","ülestõusmispühade 1. püha","NRV",""
"et-EE","","2016-05-01","kevadpüha","NF",""
"et-EE","","2016-05-15","nelipühade 1. püha","NRV",""
"et-EE","","2016-06-23","võidupüha","NF",""
"et-EE","","2016-06-24","jaanipäev","NF",""
"et-EE","","2016-08-20","taasiseseisvumispäev","NF",""
"et-EE","","2016-12-24","jõululaupäev","NF",""
"et-EE","","2016-12-25","esimene jõulupüha","NF",""
"et-EE","","2016-12-26","teine jõulupüha","NF",""
