"locale","region","date","description","type","notes"
"sv-SE","","2013-01-01","Nyårsdagen","NF",""
"sv-SE","","2013-01-06","Trettondedag jul","NRF",""
"sv-SE","","2013-03-29","Långfredagen","NRV",""
"sv-SE","","2013-03-31","Påskdagen","NRV",""
"sv-SE","","2013-04-01","Annandag påsk","NRV",""
"sv-SE","","2013-04-30","Valborgmässoafton","NF",""
"sv-SE","","2013-05-01","Första maj","NF",""
"sv-SE","","2013-05-09","Kristi Himmelsfärdsdag","NRV",""
"sv-SE","","2013-05-19","Pingstdagen","NRV",""
"sv-SE","","2013-06-06","Nationaldagen","NF",""
"sv-SE","","2013-06-21","Midsommarafton","NV",""
"sv-SE","","2013-06-22","Midsommardagen","NV",""
"sv-SE","","2013-11-02","Alla Helgons Dag","NV",""
"sv-SE","","2013-12-24","Julafton","NRF",""
"sv-SE","","2013-12-25","Juldagen","NRF",""
"sv-SE","","2013-12-26","Annandag jul","NRF",""
"sv-SE","","2013-12-31","Nyårsafton","NF",""
