"locale","region","date","description","type","notes"
"en-GL","","2013-01-01","New Year's Day","NF",""
"en-GL","","2013-01-06","Epiphany","NF",""
"en-GL","","2013-03-28","Maundy Thursday","NRV",""
"en-GL","","2013-03-29","Good Friday","NRV",""
"en-GL","","2013-04-01","Easter Monday","NRV",""
"en-GL","","2013-04-26","General Prayer Day","NRV",""
"en-GL","","2013-05-09","Ascension","NRV",""
"en-GL","","2013-05-20","Whit Monday","NRV",""
"en-GL","","2013-06-21","Ullortuneq","NF",""
"en-GL","","2013-12-24","Christmas Eve","NRF",""
"en-GL","","2013-12-25","Christmas Day","NRF",""
"en-GL","","2013-12-26","St Stephen's Day","NRF",""
"en-GL","","2013-12-31","New Year's Eve","NF",""
