"locale","region","date","description","type","notes"
"en-ZA","","2016-01-01","New Year's Day","NF",""
"en-ZA","","2016-03-21","Human Rights Day","NF",""
"en-ZA","","2016-03-25","Good Friday","NRV",""
"en-ZA","","2016-03-28","Family Day","NV",""
"en-ZA","","2016-04-27","Freedom Day","NF",""
"en-ZA","","2016-05-01","Workers' Day","NF",""
"en-ZA","","2016-06-16","Youth Day","NF",""
"en-ZA","","2016-08-09","National Women's Day","NF",""
"en-ZA","","2016-09-24","Heritage Day","NF",""
"en-ZA","","2016-12-17","Day of Reconciliation","NF",""
"en-ZA","","2016-12-25","Christmas Day","NF",""
"en-ZA","","2016-12-26","Day of Goodwill","NF",""
