"locale","region","date","description","type","notes"
"lv-LV","","2013-01-01","Jaunais Gads","NF",""
"lv-LV","","2013-03-29","Lielā Piektdiena","NRV",""
"lv-LV","","2013-03-31","Lieldienas","NRV",""
"lv-LV","","2013-04-01","2. Lieldienas","NRV",""
"lv-LV","","2013-05-01","Darba svētki","NF",""
"lv-LV","","2013-05-06","Latvijas Republikas Neatkarības atjaunošanas dienu","NF","05-04"
"lv-LV","","2013-06-24","Jāņi","NF",""
"lv-LV","","2013-11-18","Latvijas Republikas proklamēšanas diena","NF","11-18"
"lv-LV","","2013-12-24","Ziemassvētku vakars","NRF",""
"lv-LV","","2013-12-25","Ziemassvētki","NRF",""
"lv-LV","","2013-12-26","2. Ziemassvētki","NRF",""
"lv-LV","","2013-12-31","Vecgada vakars","NF",""
