# Locale,  Region, Date,         Description,               Type, Notes.
  "en-AU", "",     "2011-01-03", "New Year's Day",          "NV",  ""
  "en-AU", "",     "2011-01-26", "Australia Day",           "NF",  ""
  "en-AU", "TAS",  "2011-02-14", "Royal Hobart Regatta",    "V",  ""
  "en-AU", "WA",   "2011-03-07", "Labour Day",              "V",  ""
  "en-AU", "VIC",  "2011-03-14", "Labour Day",              "V",  ""
  "en-AU", "TAS",  "2011-03-14", "Eight Hours Day",         "V",  ""
  "en-AU", "ACT",  "2011-03-14", "Canberra Day",            "V",  ""
  "en-AU", "",     "2011-04-22", "Good Friday",             "NRV", ""
  "en-AU", "QLD",  "2011-04-23", "Easter Saturday",         "RV", ""
  "en-AU", "SA",   "2011-04-23", "Easter Saturday",         "RV", ""
  "en-AU", "NSW",  "2011-04-23", "Easter Saturday",         "RV", ""
  "en-AU", "VIC",  "2011-04-23", "Easter Saturday",         "RV", ""
  "en-AU", "NT",   "2011-04-23", "Easter Saturday",         "RV", ""
  "en-AU", "",     "2011-04-25", "Easter Monday",           "NRV", ""
  "en-AU", "QLD",  "2011-04-25", "Anzac Day",               "V",  ""
  "en-AU", "NSW",  "2011-04-25", "Anzac Day",               "V",  ""
  "en-AU", "TAS",  "2011-04-25", "Anzac Day",               "V",  ""
  "en-AU", "NT",   "2011-04-25", "Anzac Day",               "V",  ""
  "en-AU", "WA",   "2011-04-26", "Anzac Day",               "V",  ""
  "en-AU", "VIC",  "2011-04-26", "Anzac Day",               "V",  ""
  "en-AU", "SA",   "2011-04-26", "Anzac Day",               "V",  ""
  "en-AU", "ACT",  "2011-04-26", "Anzac Day",               "V",  ""
  "en-AU", "NT",   "2011-05-02", "May Day",                 "V",  ""
  "en-AU", "QLD",  "2011-05-02", "Labour Day",              "V",  ""
  "en-AU", "WA",   "2011-06-06", "Foundation Day",          "V",  ""
  "en-AU", "QLD",  "2011-06-13", "Queen's Birthday",        "V",  ""
  "en-AU", "SA",   "2011-06-13", "Queen's Birthday",        "V",  ""
  "en-AU", "NSW",  "2011-06-13", "Queen's Birthday",        "V",  ""
  "en-AU", "VIC",  "2011-06-13", "Queen's Birthday",        "V",  ""
  "en-AU", "TAS",  "2011-06-13", "Queen's Birthday",        "V",  ""
  "en-AU", "NT",   "2011-06-13", "Queen's Birthday",        "V",  ""
  "en-AU", "ACT",  "2011-06-13", "Queen's Birthday",        "V",  ""
  "en-AU", "NT",   "2011-08-01", "Picnic Day",              "V",  ""
  "en-AU", "NSW",  "2011-08-01", "Bank Holiday",            "V",  ""
  "en-AU", "WA",   "2011-10-03", "Queen's Birthday",        "V",  ""
  "en-AU", "SA",   "2011-10-03", "Labour Day",              "V",  ""
  "en-AU", "NSW",  "2011-10-03", "Labour Day",              "V",  ""
  "en-AU", "ACT",  "2011-10-03", "Labour Day",              "V",  ""
  "en-AU", "TAS",  "2011-11-07", "Recreation Day",          "V",  ""
  "en-AU", "",     "2011-12-26", "Christmas Day",           "NRV", ""
  "en-AU", "QLD",  "2011-12-27", "Boxing Day",              "F",  ""
  "en-AU", "SA",   "2011-12-27", "Proclamation Day",        "F",  ""
  "en-AU", "NSW",  "2011-12-27", "Boxing Day",              "F",  ""
  "en-AU", "WA",   "2011-12-27", "Boxing Day",              "F",  ""
  "en-AU", "VIC",  "2011-12-27", "Boxing Day",              "F",  ""
  "en-AU", "TAS",  "2011-12-27", "Boxing Day",              "F",  ""
  "en-AU", "NT",   "2011-12-27", "Boxing Day",              "F",  ""
  "en-AU", "ACT",  "2011-12-27", "Boxing Day",              "F",  ""

  "en-AU", "",     "2012-01-02", "New Year's Day",          "NV",  ""
  "en-AU", "",     "2012-01-26", "Australia Day",           "NF",  ""
  "en-AU", "TAS",  "2012-02-13", "Royal Hobart Regatta",    "V",  ""
  "en-AU", "WA",   "2012-03-05", "Labour Day",              "V",  ""
  "en-AU", "VIC",  "2012-03-12", "Labour Day",              "V",  ""
  "en-AU", "ACT",  "2012-03-12", "Canberra Day",            "V",  ""
  "en-AU", "TAS",  "2012-03-12", "Eight Hours Day",         "V",  ""
  "en-AU", "",     "2011-04-06", "Good Friday",             "NRV", ""
  "en-AU", "QLD",  "2012-04-07", "Easter Saturday",         "RV", ""
  "en-AU", "SA",   "2012-04-07", "Easter Saturday",         "RV", ""
  "en-AU", "NSW",  "2012-04-07", "Easter Saturday",         "RV", ""
